whole,part,jj,result1,result2,result3
parking meter,pole,black,unrelated,unrelated,probably
parking meter,pole,sound,guaranteed,pjj-nonsense,guaranteed
teddy bear,bow,white,unrelated,unrelated,unrelated
teddy bear,bow,forward,pjj-nonsense,guaranteed,guaranteed
tomato,part,ripe,guaranteed,guaranteed,guaranteed
tomato,part,fresh,guaranteed,guaranteed,guaranteed
tomato,part,red,guaranteed,probably,guaranteed
uniform,number,white,unlikely,unlikely,unrelated
plant,flower,old,unrelated,unrelated,probably
plant,flower,physical,pw-nonsense,pjj-nonsense,pjj-nonsense
plant,flower,young,guaranteed,guaranteed,guaranteed
plant,flower,decorative,guaranteed,guaranteed,guaranteed
plant,flower,green,impossible,unrelated,unrelated
fire hydrant,cap,broken,probably,probably,unrelated
fire hydrant,cap,white,probably,unlikely,probably
fire hydrant,cap,residual,pjj-nonsense,pjj-nonsense,probably
fire hydrant,cap,open,guaranteed,guaranteed,guaranteed
store,sign,interior,probably,guaranteed,unlikely
store,sign,dry,probably,guaranteed,wjj-nonsense
store,sign,white,unrelated,probably,unlikely
store,sign,old,probably,guaranteed,guaranteed
bridge,car,old,unrelated,unrelated,unrelated
bridge,car,white,unrelated,unrelated,unrelated
bridge,car,wooden,impossible,unrelated,impossible
bridge,car,narrow,guaranteed,unrelated,unlikely
bridge,car,long,unrelated,unrelated,unlikely
shoe,white,hot,unrelated,guaranteed,probably
shoe,white,white,guaranteed,guaranteed,guaranteed
shoe,white,old,guaranteed,guaranteed,guaranteed
boat,top,white,probably,probably,probably
boat,top,old,guaranteed,probably,guaranteed
boat,top,wooden,guaranteed,probably,unlikely
boat,top,open,guaranteed,unrelated,probably
boat,top,tiny,guaranteed,guaranteed,guaranteed
bed,comforter,warm,probably,guaranteed,probably
bin,bag,empty,guaranteed,guaranteed,guaranteed
bin,bag,green,unrelated,unrelated,unrelated
bin,bag,pretty,probably,unrelated,unrelated
tree,bud,tall,probably,probably,guaranteed
tree,bud,old,impossible,impossible,unrelated
tree,bud,hollow,impossible,impossible,impossible
tree,bud,bronchial,pjj-nonsense,guaranteed,guaranteed
tree,bud,green,unrelated,unrelated,unrelated
woman,skin,elderly,guaranteed,guaranteed,guaranteed
woman,skin,beautiful,guaranteed,guaranteed,probably
woman,skin,poor,pjj-nonsense,unrelated,pjj-nonsense
bowl,rice,empty,guaranteed,probably,guaranteed
bowl,rice,golden,unrelated,unrelated,unrelated
fence,railing,white,probably,guaranteed,probably
fence,railing,high,probably,guaranteed,guaranteed
fence,railing,low,probably,guaranteed,guaranteed
fence,railing,wooden,probably,guaranteed,guaranteed
pizza,pineapple,hot,guaranteed,probably,guaranteed
pizza,pineapple,frozen,probably,guaranteed,guaranteed
boy,shadow,nice,unrelated,pjj-nonsense,unlikely
boy,shadow,dear,unrelated,pjj-nonsense,unrelated
boy,shadow,young,guaranteed,unrelated,guaranteed
wall,art,white,unrelated,unlikely,unlikely
wall,art,anterior,unrelated,guaranteed,guaranteed
wall,art,high,probably,unrelated,guaranteed
wall,art,lateral,pjj-nonsense,unrelated,guaranteed
wall,art,posterior,pjj-nonsense,guaranteed,guaranteed
man,controller,poor,pjj-nonsense,unrelated,pjj-nonsense
birthday cake,frosting,pink,probably,guaranteed,unlikely
cap,bill,light,probably,guaranteed,probably
cap,bill,grey,unrelated,probably,probably
paw,pad,hairy,guaranteed,impossible,guaranteed
paw,pad,huge,guaranteed,probably,guaranteed
paw,pad,white,probably,unrelated,guaranteed
paw,pad,heavy,guaranteed,probably,probably
car,rim,open,pjj-nonsense,impossible,impossible
car,rim,white,unlikely,unrelated,unrelated
car,rim,old,guaranteed,probably,probably
car,rim,silver,unlikely,unrelated,unrelated
bus,roof,crowded,unlikely,impossible,impossible
bus,roof,external,wjj-nonsense,guaranteed,guaranteed
bus,roof,yellow,probably,guaranteed,probably
bus,roof,old,probably,guaranteed,guaranteed
flag,star,british,guaranteed,pjj-nonsense,impossible
he,head,brown,unrelated,guaranteed,guaranteed
he,head,chronic,unrelated,pjj-nonsense,unrelated
he,head,mild,unrelated,pjj-nonsense,pjj-nonsense
he,head,acute,unrelated,pjj-nonsense,unrelated
top,hole,open,guaranteed,probably,guaranteed
top,hole,white,guaranteed,impossible,impossible
top,hole,rounded,unrelated,unlikely,unrelated
zebra,stomach,dead,guaranteed,guaranteed,pjj-nonsense
zebra,stomach,brown,probably,probably,unlikely
zebra,stomach,young,guaranteed,guaranteed,guaranteed
zebra,stomach,true,guaranteed,pjj-nonsense,wjj-nonsense
zebra,stomach,female,guaranteed,guaranteed,pjj-nonsense
picture,word,true,unrelated,guaranteed,unrelated
picture,word,clinical,pjj-nonsense,guaranteed,pjj-nonsense
picture,word,black,unrelated,impossible,unlikely
picture,word,clear,probably,guaranteed,unrelated
picture,word,vivid,probably,guaranteed,unrelated
flower,leaf,dark,probably,unrelated,probably
flower,leaf,white,probably,unrelated,unlikely
flower,leaf,beautiful,probably,unrelated,guaranteed
flower,leaf,lotus,guaranteed,guaranteed,guaranteed
necklace,bead,brown,probably,guaranteed,guaranteed
necklace,bead,golden,probably,guaranteed,unlikely
necklace,bead,ruby,probably,guaranteed,guaranteed
necklace,bead,long,probably,unrelated,unlikely
necklace,bead,beautiful,guaranteed,guaranteed,guaranteed
building,shadow,brown,unrelated,impossible,impossible
building,shadow,old,impossible,impossible,guaranteed
building,shadow,public,pjj-nonsense,guaranteed,guaranteed
building,shadow,tall,probably,impossible,guaranteed
building,shadow,fine,pjj-nonsense,unrelated,pjj-nonsense
building,shadow,original,pjj-nonsense,impossible,pjj-nonsense
giraffe,face,brown,probably,guaranteed,probably
giraffe,face,tall,guaranteed,unrelated,unrelated
giraffe,face,stuffed,probably,guaranteed,guaranteed
giraffe,face,young,guaranteed,guaranteed,guaranteed
laptop,pad,open,guaranteed,guaranteed,wjj-nonsense
laptop,pad,black,probably,probably,probably
laptop,pad,typical,probably,guaranteed,probably
laptop,pad,old,guaranteed,guaranteed,guaranteed
freezer,door,sharp,impossible,pjj-nonsense,unrelated
freezer,door,liquid,guaranteed,pjj-nonsense,impossible
freezer,door,white,guaranteed,probably,guaranteed
freezer,door,continuous,guaranteed,pjj-nonsense,impossible
room,chair,empty,unlikely,impossible,guaranteed
room,chair,private,probably,guaranteed,impossible
window,writing,high,guaranteed,guaranteed,probably
window,writing,clean,guaranteed,guaranteed,probably
window,writing,open,pjj-nonsense,impossible,impossible
window,writing,brown,unlikely,unrelated,unrelated
shirt,writing,clean,guaranteed,probably,guaranteed
shirt,writing,red,unlikely,unrelated,impossible
bridge,light,long,unrelated,guaranteed,unrelated
bridge,light,white,unrelated,unrelated,unlikely
bridge,light,narrow,unrelated,guaranteed,unrelated
bridge,light,old,probably,unrelated,probably
train,line,regular,guaranteed,pjj-nonsense,probably
train,line,electric,unrelated,unlikely,impossible
train,line,red,unlikely,unlikely,unlikely
train,line,long,guaranteed,guaranteed,guaranteed
train,line,fast,unrelated,unlikely,impossible
train,line,slow,guaranteed,unlikely,impossible
fence,weed,white,unrelated,unrelated,unrelated
fence,weed,low,unrelated,unrelated,unrelated
vehicle,door,suitable,guaranteed,pjj-nonsense,pjj-nonsense
vehicle,door,yellow,probably,guaranteed,probably
vehicle,door,electric,guaranteed,impossible,guaranteed
vehicle,door,important,guaranteed,guaranteed,unlikely
vehicle,door,primary,unrelated,impossible,pjj-nonsense
cabinet,handle,english,probably,guaranteed,probably
cabinet,handle,inner,pjj-nonsense,pjj-nonsense,impossible
cabinet,handle,white,probably,unrelated,probably
cabinet,handle,metal,probably,unrelated,probably
tree,vine,tall,probably,guaranteed,probably
tree,vine,old,probably,guaranteed,unrelated
tree,vine,green,probably,guaranteed,unrelated
street,intersection,public,guaranteed,guaranteed,guaranteed
street,intersection,busy,guaranteed,guaranteed,probably
street,intersection,clean,guaranteed,probably,probably
street,intersection,narrow,guaranteed,guaranteed,guaranteed
street,intersection,quiet,guaranteed,probably,guaranteed
clock,part,tall,guaranteed,unlikely,guaranteed
clock,part,old,guaranteed,probably,guaranteed
clock,part,antique,guaranteed,probably,guaranteed
clock,part,green,unrelated,probably,guaranteed
clock,part,internal,guaranteed,impossible,guaranteed
lake,reflection,green,probably,unrelated,unlikely
lake,reflection,beautiful,probably,unrelated,guaranteed
lake,reflection,shallow,unrelated,impossible,unrelated
traffic light,pole,bright,probably,impossible,unrelated
traffic light,pole,white,unrelated,impossible,unrelated
man,plate,poor,pjj-nonsense,pjj-nonsense,unrelated
vase,line,crystal,guaranteed,guaranteed,guaranteed
vase,line,golden,probably,unrelated,probably
vase,line,broken,probably,probably,unrelated
vase,line,greek,guaranteed,probably,guaranteed
vase,line,black,probably,unrelated,unrelated
desk,keyboard,massive,unrelated,unlikely,unrelated
desk,keyboard,white,unrelated,unrelated,unlikely
desk,keyboard,wooden,unlikely,impossible,unlikely
desk,keyboard,old,unrelated,unrelated,unrelated
wall,stain,white,unlikely,unlikely,impossible
bear,leg,fake,guaranteed,guaranteed,guaranteed
bear,leg,white,probably,probably,probably
animal,eye,brown,unrelated,probably,unrelated
animal,eye,young,guaranteed,guaranteed,guaranteed
animal,eye,wild,guaranteed,unrelated,pjj-nonsense
animal,eye,experimental,guaranteed,guaranteed,pjj-nonsense
animal,eye,poor,guaranteed,guaranteed,pjj-nonsense
animal,eye,human,guaranteed,guaranteed,guaranteed
helmet,goggles,red,unrelated,unrelated,unrelated
statue,tie,beautiful,unrelated,unrelated,unrelated
goat,tail,white,probably,probably,probably
goat,tail,old,guaranteed,guaranteed,guaranteed
goat,tail,young,guaranteed,guaranteed,guaranteed
grass,part,high,guaranteed,guaranteed,guaranteed
grass,part,long,guaranteed,unrelated,unrelated
grass,part,green,guaranteed,probably,guaranteed
grass,part,dry,guaranteed,probably,guaranteed
goggles,lens,protective,guaranteed,guaranteed,guaranteed
goggles,lens,dark,probably,unrelated,unrelated
goggles,lens,white,unrelated,unrelated,unrelated
bus,panel,old,probably,guaranteed,probably
bus,panel,public,guaranteed,guaranteed,guaranteed
bus,panel,crowded,unlikely,unrelated,impossible
bus,panel,black,probably,unrelated,unrelated
bus,panel,external,wjj-nonsense,guaranteed,guaranteed
goose,neck,fat,guaranteed,probably,probably
goose,neck,silly,unrelated,probably,wjj-nonsense
goose,neck,white,guaranteed,probably,unlikely
goose,neck,golden,unrelated,unlikely,unlikely
goose,neck,old,guaranteed,guaranteed,probably
label,writing,appropriate,guaranteed,probably,guaranteed
label,writing,descriptive,guaranteed,probably,guaranteed
label,writing,white,unlikely,unlikely,impossible
label,writing,private,guaranteed,guaranteed,guaranteed
water,bird,blue,unrelated,unrelated,unlikely
water,bird,calm,unrelated,unrelated,unrelated
water,bird,warm,probably,unrelated,unrelated
water,bird,clear,impossible,unrelated,unrelated
meter,letter,triple,pjj-nonsense,unlikely,pjj-nonsense
meter,letter,white,unrelated,unlikely,unrelated
meter,letter,one,unrelated,unlikely,pjj-nonsense
lamb,mouth,light,guaranteed,probably,guaranteed
lamb,mouth,white,probably,probably,unrelated
lamb,mouth,young,guaranteed,guaranteed,guaranteed
lamb,mouth,fetal,guaranteed,guaranteed,guaranteed
lamb,mouth,poor,pjj-nonsense,guaranteed,unrelated
pillow,tag,hard,unlikely,unrelated,unrelated
pillow,tag,red,unlikely,unlikely,probably
pillow,tag,wooden,unlikely,probably,impossible
cat,muzzle,white,unrelated,probably,unrelated
cat,muzzle,old,guaranteed,guaranteed,guaranteed
bed,board,comfortable,impossible,pjj-nonsense,unlikely
bed,board,warm,unrelated,pjj-nonsense,probably
bed,board,wooden,probably,unlikely,probably
bed,board,dry,probably,probably,probably
bed,board,narrow,guaranteed,unrelated,guaranteed
eagle,wing,imperial,guaranteed,pjj-nonsense,pjj-nonsense
eagle,wing,gray,probably,probably,probably
eagle,wing,young,guaranteed,guaranteed,guaranteed
car,logo,open,pjj-nonsense,pjj-nonsense,unrelated
car,logo,white,unrelated,unlikely,unrelated
car,logo,old,probably,guaranteed,probably
road,car,old,unrelated,unrelated,unrelated
road,car,clean,unrelated,unrelated,unrelated
road,car,narrow,unrelated,unrelated,unlikely
road,car,grey,unrelated,unrelated,unrelated
road,car,open,unrelated,unrelated,unrelated
road,car,empty,unrelated,unrelated,unrelated
road,car,long,unrelated,unrelated,unlikely
bus,reflector,black,unlikely,impossible,impossible
bus,reflector,external,wjj-nonsense,guaranteed,guaranteed
bus,reflector,old,probably,guaranteed,probably
goat,fur,white,guaranteed,guaranteed,probably
goat,fur,old,guaranteed,guaranteed,guaranteed
beach,water,rocky,unlikely,impossible,impossible
beach,water,white,unlikely,probably,unrelated
beach,water,sandy,unlikely,guaranteed,unlikely
beach,water,private,probably,guaranteed,guaranteed
cabinet,door,beige,probably,guaranteed,probably
cabinet,door,white,probably,guaranteed,probably
cabinet,door,metal,unlikely,guaranteed,probably
cabinet,door,federal,pjj-nonsense,pjj-nonsense,pjj-nonsense
cabinet,door,french,probably,guaranteed,probably
cabinet,door,english,probably,guaranteed,probably
cabinet,door,inner,guaranteed,pjj-nonsense,pjj-nonsense
surfboard,word,regular,unrelated,pjj-nonsense,unrelated
surfboard,word,short,unrelated,unrelated,guaranteed
surfboard,word,purple,unlikely,unrelated,unlikely
surfboard,word,old,guaranteed,unrelated,guaranteed
zebra,mane,dead,impossible,guaranteed,guaranteed
zebra,mane,black,guaranteed,unrelated,probably
baby,eye,young,guaranteed,guaranteed,guaranteed
baby,eye,one,impossible,unlikely,pjj-nonsense
baby,eye,poor,pjj-nonsense,unlikely,guaranteed
baby,eye,grey,unlikely,wjj-nonsense,unrelated
baby,eye,healthy,probably,guaranteed,guaranteed
bowl,rim,shallow,impossible,probably,pjj-nonsense
bowl,rim,circular,guaranteed,guaranteed,guaranteed
bowl,rim,golden,probably,unlikely,probably
bowl,rim,wooden,guaranteed,probably,probably
crane,leg,orange,unlikely,probably,unrelated
crane,leg,metal,guaranteed,unrelated,guaranteed
banana,tip,green,guaranteed,guaranteed,probably
cat,spot,white,impossible,impossible,impossible
cat,spot,old,guaranteed,guaranteed,guaranteed
sedan,tire,green,impossible,impossible,unrelated
back,hump,broad,probably,guaranteed,guaranteed
back,hump,low,guaranteed,unrelated,guaranteed
back,hump,high,guaranteed,unrelated,guaranteed
fence,support,white,probably,guaranteed,unrelated
fence,support,wooden,probably,guaranteed,probably
fence,support,metal,guaranteed,guaranteed,probably
fence,support,low,guaranteed,guaranteed,guaranteed
fence,support,high,guaranteed,guaranteed,guaranteed
sand,line,wet,guaranteed,probably,guaranteed
sand,line,white,guaranteed,unlikely,guaranteed
sand,line,dirty,guaranteed,guaranteed,probably
sand,line,coarse,guaranteed,probably,guaranteed
sand,line,fine,guaranteed,probably,guaranteed
sand,line,dry,guaranteed,unlikely,guaranteed
sand,line,tan,guaranteed,probably,guaranteed
plate,stripe,empty,guaranteed,guaranteed,pjj-nonsense
plate,stripe,thin,unrelated,probably,unrelated
plate,stripe,white,probably,unrelated,unlikely
plate,stripe,flat,guaranteed,guaranteed,pjj-nonsense
girl,top,old,unrelated,unrelated,unlikely
girl,top,beautiful,unrelated,unrelated,unlikely
girl,top,pretty,unrelated,unrelated,unlikely
eagle,beak,gray,unlikely,unlikely,unlikely
eagle,beak,gold,unrelated,unlikely,probably
eagle,beak,young,guaranteed,guaranteed,guaranteed
arm,elbow,metal,guaranteed,guaranteed,guaranteed
arm,elbow,broken,unrelated,unrelated,unrelated
arm,elbow,outstretched,guaranteed,guaranteed,guaranteed
arm,elbow,long,unrelated,unrelated,unlikely
arm,elbow,short,unrelated,unrelated,unrelated
door,train,white,probably,probably,unlikely
door,train,wooden,impossible,unlikely,unrelated
door,train,heavy,unrelated,guaranteed,guaranteed
door,train,inner,impossible,pjj-nonsense,unrelated
door,train,closed,unrelated,guaranteed,guaranteed
door,train,locked,unrelated,guaranteed,guaranteed
van,windshield,black,impossible,unlikely,unrelated
colt,head,old,guaranteed,guaranteed,guaranteed
colt,head,young,guaranteed,guaranteed,guaranteed
colt,head,wild,guaranteed,guaranteed,guaranteed
colt,head,black,guaranteed,probably,guaranteed
colt,head,unbroken,guaranteed,guaranteed,guaranteed
hand,nail,human,guaranteed,guaranteed,guaranteed
hand,nail,strong,unrelated,unrelated,guaranteed
woman,belly,beautiful,unrelated,probably,probably
woman,belly,poor,pjj-nonsense,pjj-nonsense,pjj-nonsense
skateboarder,shoe,male,impossible,probably,probably
girl,face,looking,guaranteed,guaranteed,guaranteed
girl,face,old,guaranteed,guaranteed,guaranteed
girl,face,poor,pjj-nonsense,impossible,guaranteed
girl,face,pretty,guaranteed,guaranteed,guaranteed
girl,face,beautiful,guaranteed,guaranteed,guaranteed
tire,part,round,guaranteed,guaranteed,unrelated
tire,part,black,probably,guaranteed,unrelated
tire,part,punctured,probably,unrelated,unrelated
tire,part,old,probably,guaranteed,guaranteed
park,fence,old,probably,probably,probably
park,fence,beautiful,unrelated,unrelated,guaranteed
park,fence,green,unlikely,unrelated,unrelated
park,fence,wooden,unrelated,unrelated,unrelated
armchair,arm,comfortable,probably,guaranteed,unlikely
armchair,arm,old,probably,guaranteed,probably
armchair,arm,wooden,probably,guaranteed,probably
armchair,arm,low,guaranteed,guaranteed,guaranteed
armchair,arm,black,probably,guaranteed,probably
armchair,arm,deep,probably,unrelated,pjj-nonsense
trunk,wrinkle,long,probably,guaranteed,unlikely
trunk,wrinkle,old,guaranteed,guaranteed,probably
metal,part,metal,guaranteed,guaranteed,guaranteed
metal,part,hot,guaranteed,guaranteed,guaranteed
metal,part,shiny,guaranteed,guaranteed,guaranteed
metal,part,black,guaranteed,guaranteed,guaranteed
metal,part,pure,guaranteed,unrelated,guaranteed
animal,mouth,brown,probably,probably,probably
animal,mouth,stuffed,guaranteed,unrelated,probably
animal,mouth,young,guaranteed,guaranteed,guaranteed
animal,mouth,wild,guaranteed,guaranteed,guaranteed
animal,mouth,poor,unrelated,pjj-nonsense,pjj-nonsense
animal,mouth,human,guaranteed,pjj-nonsense,guaranteed
animal,mouth,furry,unrelated,probably,probably
doorway,arch,darkened,guaranteed,unrelated,unrelated
doorway,arch,low,guaranteed,guaranteed,guaranteed
doorway,arch,red,unrelated,unrelated,probably
doorway,arch,narrow,guaranteed,guaranteed,guaranteed
doorway,arch,open,guaranteed,guaranteed,impossible
doorway,arch,dark,guaranteed,unrelated,unrelated
leg,base,bent,impossible,unrelated,unrelated
leg,base,affected,pjj-nonsense,pjj-nonsense,pjj-nonsense
leg,base,chair,impossible,guaranteed,guaranteed
leg,base,broken,unrelated,probably,unrelated
leg,base,artificial,guaranteed,probably,guaranteed
leg,base,injured,impossible,pjj-nonsense,wjj-nonsense
clock,pendulum,old,guaranteed,probably,probably
computer,button,off,guaranteed,guaranteed,unrelated
computer,button,grey,probably,guaranteed,unrelated
computer,button,remote,impossible,unrelated,guaranteed
she,necklace,beautiful,unrelated,unrelated,unrelated
clock tower,roof,tall,guaranteed,probably,probably
clock tower,roof,old,guaranteed,probably,probably
clock tower,roof,round,guaranteed,unlikely,probably
clock tower,roof,grey,unrelated,probably,unrelated
clock tower,roof,high,guaranteed,guaranteed,guaranteed
clock tower,roof,pointed,guaranteed,unrelated,guaranteed
clock tower,roof,lofty,pjj-nonsense,guaranteed,guaranteed
baby,arm,young,guaranteed,guaranteed,guaranteed
baby,arm,one,unlikely,guaranteed,guaranteed
baby,arm,poor,pjj-nonsense,unrelated,guaranteed
baby,arm,grey,guaranteed,guaranteed,probably
baby,arm,healthy,guaranteed,guaranteed,guaranteed
player,uniform,professional,guaranteed,guaranteed,probably
player,uniform,red,impossible,unrelated,unrelated
lady,lap,dear,pjj-nonsense,guaranteed,pjj-nonsense
boy,teeth,nice,unrelated,unrelated,pjj-nonsense
boy,teeth,young,guaranteed,guaranteed,guaranteed
train,smoke,regular,unrelated,probably,unrelated
train,smoke,silver,unrelated,impossible,unrelated
train,smoke,red,unrelated,unlikely,unlikely
train,smoke,long,unrelated,unrelated,unrelated
train,smoke,fast,guaranteed,unrelated,probably
train,smoke,slow,unrelated,unrelated,probably
tray,food,clear,unlikely,impossible,unrelated
tray,food,laden,unlikely,impossible,unrelated
tray,food,wooden,impossible,impossible,impossible
tray,food,black,impossible,unlikely,unrelated
tray,food,plastic,impossible,impossible,impossible
tray,food,empty,guaranteed,impossible,pjj-nonsense
sink,faucet,shiny,unrelated,unrelated,guaranteed
sink,faucet,clean,probably,probably,guaranteed
sink,faucet,old,probably,probably,guaranteed
sink,faucet,dry,probably,probably,guaranteed
cellphone,keypad,tiny,guaranteed,probably,probably
boy,bat,young,unrelated,unrelated,unrelated
giraffe,torso,brown,probably,unlikely,probably
giraffe,torso,tall,guaranteed,unlikely,guaranteed
giraffe,torso,young,guaranteed,guaranteed,guaranteed
beach,building,white,unrelated,unrelated,impossible
beach,building,private,unrelated,guaranteed,wjj-nonsense
bowl,spoon,shallow,pjj-nonsense,unlikely,impossible
bowl,spoon,empty,unrelated,guaranteed,guaranteed
bowl,spoon,golden,unrelated,unlikely,unrelated
bowl,spoon,wooden,unrelated,unlikely,probably
tower,flag,tall,guaranteed,probably,guaranteed
tower,flag,white,unrelated,unrelated,unrelated
tower,flag,old,unrelated,probably,probably
tower,flag,round,unlikely,unlikely,unrelated
tower,flag,high,guaranteed,guaranteed,guaranteed
child,hat,poor,unrelated,unrelated,pjj-nonsense
door,rust,white,unrelated,impossible,impossible
door,rust,heavy,unlikely,unlikely,unrelated
church,tower,ancient,guaranteed,guaranteed,probably
church,tower,true,guaranteed,guaranteed,guaranteed
church,tower,old,guaranteed,guaranteed,guaranteed
church,tower,brown,guaranteed,guaranteed,probably
jersey,letter,white,unlikely,probably,impossible
clock,light,tall,impossible,guaranteed,guaranteed
clock,light,old,probably,probably,guaranteed
clock,light,framed,probably,guaranteed,guaranteed
clock,light,antique,guaranteed,guaranteed,guaranteed
clock,light,green,unrelated,unrelated,probably
clock,light,internal,unrelated,probably,guaranteed
motorcycle,helmet,black,unrelated,unrelated,unrelated
motorcycle,helmet,used,unrelated,probably,unrelated
motorcycle,helmet,old,unrelated,unrelated,unrelated
motorcycle,helmet,indian,pjj-nonsense,unrelated,pjj-nonsense
building,storefront,original,guaranteed,unrelated,probably
building,storefront,old,probably,probably,probably
building,storefront,public,guaranteed,guaranteed,guaranteed
boat,window,white,unlikely,unrelated,impossible
boat,window,old,guaranteed,guaranteed,probably
boat,window,wooden,impossible,impossible,impossible
boat,window,open,unrelated,probably,unrelated
boat,window,tiny,probably,guaranteed,probably
skier,arm,experienced,guaranteed,guaranteed,pjj-nonsense
skier,arm,expert,unrelated,probably,pjj-nonsense
skier,arm,excellent,guaranteed,probably,pjj-nonsense
canopy,pole,thick,unrelated,unrelated,unrelated
canopy,pole,white,unrelated,unrelated,probably
canopy,pole,closed,guaranteed,guaranteed,guaranteed
orange,seed,bright,unrelated,probably,unlikely
orange,seed,round,unrelated,guaranteed,probably
orange,seed,shiny,unrelated,probably,unlikely
orange,seed,orange,unrelated,guaranteed,unlikely
orange,seed,pale,unrelated,unrelated,guaranteed
orange,seed,deep,unrelated,probably,pjj-nonsense
bike,window,stationary,guaranteed,guaranteed,unrelated
bike,window,old,probably,guaranteed,probably
bike,window,red,unlikely,unrelated,impossible
plate,fruit,white,unrelated,impossible,unlikely
plate,fruit,dirty,guaranteed,guaranteed,unrelated
plate,fruit,round,unrelated,impossible,unrelated
plate,fruit,thin,unrelated,unrelated,unrelated
plate,fruit,empty,guaranteed,probably,unlikely
fence,edge,white,guaranteed,probably,probably
fence,edge,wooden,guaranteed,guaranteed,guaranteed
fence,edge,metal,guaranteed,guaranteed,guaranteed
fence,edge,low,guaranteed,guaranteed,guaranteed
fence,edge,barbed,guaranteed,probably,probably
fence,edge,high,guaranteed,guaranteed,guaranteed
wall,wallpaper,white,unrelated,guaranteed,unlikely
street,arrow,public,guaranteed,guaranteed,guaranteed
street,arrow,busy,probably,probably,impossible
street,arrow,clean,guaranteed,guaranteed,guaranteed
street,arrow,narrow,guaranteed,unrelated,unrelated
street,arrow,long,unrelated,guaranteed,unrelated
cabinet,mirror,white,unlikely,impossible,probably
cabinet,mirror,metal,unlikely,unlikely,impossible
cabinet,mirror,french,unrelated,unrelated,probably
cabinet,mirror,english,unrelated,unrelated,probably
cabinet,mirror,inner,guaranteed,unrelated,probably
surfboard,cord,miniature,guaranteed,unlikely,unrelated
surfboard,cord,regular,unrelated,probably,probably
surfboard,cord,old,guaranteed,unrelated,probably
surfboard,cord,purple,unrelated,unrelated,unrelated
surfboard,cord,giant,unrelated,unlikely,unrelated
surfboard,cord,short,unrelated,unlikely,unrelated
umbrella,wire,open,guaranteed,guaranteed,guaranteed
umbrella,wire,white,unlikely,unrelated,unrelated
dress,collar,white,guaranteed,probably,probably
dress,collar,floral,guaranteed,probably,probably
shirt,picture,clean,guaranteed,guaranteed,guaranteed
shirt,picture,white,unrelated,unrelated,unlikely
table,magazine,above,unrelated,guaranteed,wjj-nonsense
sheet,stripe,clean,probably,guaranteed,guaranteed
sheet,stripe,thin,guaranteed,unrelated,unrelated
sheet,stripe,white,unrelated,unlikely,impossible
vase,plant,broken,unlikely,impossible,probably
vase,plant,black,impossible,impossible,unlikely
vase,plant,greek,unrelated,wjj-nonsense,unrelated
vase,plant,golden,unrelated,impossible,unlikely
cat,mustache,white,unrelated,unrelated,probably
cat,mustache,old,guaranteed,guaranteed,guaranteed
umbrella,handle,open,pjj-nonsense,impossible,impossible
umbrella,handle,white,probably,unlikely,unrelated
sidewalk,stain,wide,unrelated,unrelated,unrelated
sidewalk,stain,white,unlikely,unlikely,probably
sidewalk,stain,public,guaranteed,guaranteed,guaranteed
window,windowpane,open,unlikely,unlikely,guaranteed
window,windowpane,clean,guaranteed,guaranteed,guaranteed
window,windowpane,broken,probably,probably,guaranteed
building,steeple,original,probably,guaranteed,guaranteed
building,steeple,tall,probably,guaranteed,guaranteed
building,steeple,fine,wjj-nonsense,unrelated,guaranteed
building,steeple,old,probably,guaranteed,guaranteed
carpet,design,persian,guaranteed,probably,guaranteed
carpet,design,clean,guaranteed,probably,guaranteed
carpet,design,magic,guaranteed,pjj-nonsense,guaranteed
carpet,design,purple,unlikely,unrelated,probably
wineglass,stem,broken,unrelated,unrelated,probably
wineglass,stem,empty,probably,unrelated,unrelated
wineglass,stem,crystal,guaranteed,guaranteed,guaranteed
wineglass,stem,frosted,guaranteed,guaranteed,guaranteed
baby,eyebrow,grey,wjj-nonsense,wjj-nonsense,unlikely
fork,reflection,long,probably,guaranteed,unrelated
fork,reflection,plastic,pjj-nonsense,unrelated,guaranteed
bus,rack,crowded,unlikely,unlikely,unrelated
bus,rack,external,guaranteed,wjj-nonsense,guaranteed
bus,rack,old,probably,probably,probably
bus,rack,public,guaranteed,guaranteed,guaranteed
longboard,wheel,green,probably,unrelated,unrelated
mountain,ridge,tall,guaranteed,guaranteed,guaranteed
mountain,ridge,rocky,probably,probably,guaranteed
mountain,ridge,high,guaranteed,guaranteed,guaranteed
mountain,ridge,lofty,probably,probably,guaranteed
mountain,ridge,steep,guaranteed,guaranteed,guaranteed
pelican,wing,british,guaranteed,guaranteed,guaranteed
pelican,wing,american,guaranteed,guaranteed,guaranteed
pelican,wing,grey,probably,probably,guaranteed
pelican,wing,old,guaranteed,guaranteed,guaranteed
cell phone,camera,black,probably,impossible,probably
cell phone,camera,smart,guaranteed,guaranteed,guaranteed
cell phone,camera,portable,guaranteed,guaranteed,guaranteed
cell phone,camera,public,guaranteed,guaranteed,guaranteed
horn,tip,posterior,probably,guaranteed,guaranteed
horn,tip,curved,probably,probably,unrelated
horn,tip,grey,probably,guaranteed,guaranteed
screen,icon,white,unrelated,impossible,unrelated
screen,icon,blank,guaranteed,guaranteed,guaranteed
screen,icon,terminal,unrelated,pjj-nonsense,pjj-nonsense
bed,leg,warm,probably,probably,unrelated
